name,radius,period,duration,source
TOI-1214.01,2.4311768,19.1807264,3.9621084,TESS
TOI-1215.01,0.879419,1.2124493,0.9984653,TESS
TOI-1216.01,0.8887417,4.5541831,7.8146963,TESS
TOI-1217.01,12.5121956,41.4856125,6.6899368,TESS
TOI-1218.01,1.8971927,13.7738265,2.9992376,TESS
TOI-1219.01,2.04421,1.9142544,3.256,TESS
TOI-122.01,2.6347763,5.0780325,1.2100353,TESS
TOI-1220.01,8.2807306,70.3607265,1.0325441,TESS
TOI-1221.01,3.239855,91.6827832,9.7504857,TESS
TOI-1222.01,2.7392825,10.1944993,2.2648785,TESS
TOI-1223.01,3.41248,14.64319,2.5483426,TESS
TOI-1224.01,2.1023854,4.1782656,1.675904,TESS
TOI-1224.02,3.3839124,17.9453645,3.0740072,TESS
TOI-1225.01,2.4586343,13.896396,3.5885605,TESS
TOI-1225.02,2.3157186,8.1213102,3.1040945,TESS
TOI-1226.01,2.329279,3.9287851,1.8165271,TESS
TOI-1227.01,6.4522449,27.3613778,4.0586418,TESS
TOI-1228.01,2.84674,29.0497517,7.117,TESS
TOI-1229.01,21.6314984,31.8132264,11.2567164,TESS
TOI-123.01,24.9862,3.3088922,6.114,TESS
TOI-1230.01,3.2396838,25.0571312,7.5424225,TESS
TOI-1231.01,3.878568,24.2454967,3.3725583,TESS
TOI-1232.01,10.7048234,14.2545623,4.7250029,TESS
TOI-1233.01,2.6231641,14.1758947,3.7543827,TESS
TOI-1233.02,3.0026428,19.5901578,4.002861,TESS
TOI-1233.03,2.056748,6.2036219,3.01098,TESS
TOI-1233.04,1.553135,3.79589,2.4602856,TESS
TOI-1234.01,5.1936764,2.2645386,3.8193701,TESS
TOI-1235.01,2.00495,3.4447015,1.912,TESS
TOI-1236.01,12.7529892,3.0300715,2.5466671,TESS
TOI-1237.01,4.96046,12.72038,2.401,TESS
TOI-1237.02,2.9728283,6.238755,3.6178567,TESS
TOI-1238.01,2.5248559,3.2947689,1.7483103,TESS
TOI-1238.02,1.2407226,0.7645807,1.07057,TESS
TOI-1239.01,4.6025162,12.6396982,3.3830702,TESS
TOI-124.01,21.2705,1.8428078,1.449,TESS
TOI-1240.01,13.4646314,1.7208555,1.8346409,TESS
TOI-1241.01,7.6126429,4.7802597,1.4588658,TESS
TOI-1242.01,2.0605,0.3814849,0.565,TESS
TOI-1243.01,2.1961507,4.6595169,0.9011821,TESS
TOI-1244.01,2.2730301,6.4002807,2.1559875,TESS
TOI-1245.01,2.36747,4.8204512,1.756,TESS
TOI-1246.01,4.3869878,18.6548829,5.4431451,TESS
TOI-1246.02,3.2819879,4.3074513,2.3379196,TESS
TOI-1246.03,2.4489454,5.9041278,2.7678313,TESS
TOI-1246.04,3.241643,37.9251983,3.5345219,TESS
TOI-1247.01,2.18203,15.9234883,4.021,TESS
TOI-1248.01,6.9564258,4.3601536,2.3408909,TESS
TOI-1249.01,3.25485,13.0791581,2.97,TESS
TOI-125.01,2.66889,4.6517186,2.709,TESS
TOI-125.02,2.62011,9.1549418,2.457,TESS
TOI-125.03,2.54717,19.9815709,2.724,TESS
TOI-1250.01,3.8345209,1.4415044,0.9274524,TESS
TOI-1251.01,10.0859,5.9630544,2.951,TESS
TOI-1252.01,3.9968417,1.1219715,0.8226121,TESS
TOI-1253.01,4.03134,4.6756655,1.914,TESS
TOI-1254.01,6.5875997,1.0180114,1.1353639,TESS
TOI-1255.01,2.63881,10.288886,1.391,TESS
TOI-1256.01,4.087988,1.0332441,3.8017836,TESS
TOI-1257.01,14.5502,5.4526479,3.401,TESS
TOI-1258.01,3.60391,10.2613397,4.855,TESS
TOI-1259.01,12.5541925,3.4779776,2.5103489,TESS
TOI-126.01,14.1334903,3.0354017,2.8809533,TESS
TOI-1260.01,2.5802896,3.1274634,1.9812695,TESS
TOI-1260.02,2.7733674,7.4931613,1.9339295,TESS
TOI-1260.03,3.8319135,49.825166,3.8714976,TESS
TOI-1261.01,3.8092663,18.0574016,3.592177,TESS
TOI-1262.01,2.16145,20.8774413,3.562,TESS
TOI-1263.01,1.46266,1.0214555,1.252,TESS
TOI-1264.01,7.84317,2.7441672,1.418,TESS
TOI-1265.01,17.9781,2.2047452,3.996,TESS
TOI-1266.01,2.4691414,10.8948421,2.0719394,TESS
TOI-1266.02,1.9112282,18.8016111,1.9093524,TESS
TOI-1267.01,9.7548481,6.7900981,6.0786576,TESS
TOI-1268.01,9.31888,8.157721,3.788,TESS
TOI-1269.01,2.3483383,4.2529641,2.5733867,TESS
TOI-1269.02,2.22995,9.2378703,2.535,TESS
TOI-127.01,10.3261619,3.7955178,2.0198135,TESS
TOI-1270.01,18.4949,14.3034613,3.135,TESS
TOI-1271.01,13.1383,6.1349783,5.661,TESS
TOI-1272.01,4.5947,3.3159772,1.494,TESS
TOI-1273.01,9.34848,4.6313014,1.435,TESS
TOI-1274.01,9.38964,19.3203478,4.215,TESS
TOI-1275.01,4.2917226,11.3246821,5.9704136,TESS
TOI-1276.01,1.3468319,6.261169,2.0369188,TESS
TOI-1277.02,2.72638,14.8559691,3.711,TESS
TOI-1278.01,8.6976173,14.4751062,1.6182484,TESS
TOI-1279.01,3.2264735,9.6141636,3.4271882,TESS
TOI-128.01,2.3216,4.9404714,1.954,TESS
TOI-1280.01,3.289074,9.6926392,3.0182304,TESS
TOI-1281.01,2.47201,6.390888,3.766,TESS
TOI-1282.01,17.1331258,0.9689927,2.5496309,TESS
TOI-1283.01,11.8729,10.338505,4.242,TESS
